anho,mes,ipc.dic.2008
1980,11,"1,27179"
1980,12,"1,28929"
1981,01,"1,31737"
1981,02,"1,35602"
1981,03,"1,39341"
1981,04,"1,42681"
1981,05,"1,46435"
1981,06,"1,5042"
1981,07,"1,53204"
1981,08,"1,55145"
1981,09,"1,56266"
1981,10,"1,58207"
1981,11,"1,60696"
1981,12,"1,63043"
1982,01,"1,66033"
1982,02,"1,69644"
1982,03,"1,73549"
1982,04,"1,78027"
1982,05,"1,82728"
1982,06,"1,86808"
1982,07,"1,89266"
1982,08,"1,91541"
1982,09,"1,94587"
1982,10,"1,98174"
1982,11,"2,00528"
1982,12,"2,02222"
1983,01,"2,04346"
1983,02,"2,06764"
1983,03,"2,11465"
1983,04,"2,17939"
1983,05,"2,23435"
1983,06,"2,25034"
1983,07,"2,26783"
1983,08,"2,26624"
1983,09,"2,28494"
1983,10,"2,32264"
1983,11,"2,34705"
1983,12,"2,35867"
1984,01,"2,39136"
1984,02,"2,42333"
1984,03,"2,46644"
1984,04,"2,51543"
1984,05,"2,55075"
1984,06,"2,59171"
1984,07,"2,62328"
1984,08,"2,63315"
1984,09,"2,66218"
1984,10,"2,67729"
1984,11,"2,73185"
1984,12,"2,78991"
1985,01,"2,85227"
1985,02,"2,93793"
1985,03,"3,02916"
1985,04,"3,11442"
1985,05,"3,25505"
1985,06,"3,3151"
1985,07,"3,29577"
1985,08,"3,28264"
1985,09,"3,31176"
1985,10,"3,34047"
1985,11,"3,37363"
1985,12,"3,41627"
1986,01,"3,52388"
1986,02,"3,63491"
1986,03,"3,71525"
1986,04,"3,8165"
1986,05,"3,78898"
1986,06,"3,7613"
1986,07,"3,76074"
1986,08,"3,81339"
1986,09,"3,8678"
1986,10,"3,94741"
1986,11,"4,03292"
1986,12,"4,13186"
1987,01,"4,26691"
1987,02,"4,35361"
1987,03,"4,47156"
1987,04,"4,57234"
1987,05,"4,65012"
1987,06,"4,69458"
1987,07,"4,76314"
1987,08,"4,77706"
1987,09,"4,8352"
1987,10,"4,92627"
1987,11,"5,03023"
1987,12,"5,1244"
1988,01,"5,27838"
1988,02,"5,49122"
1988,03,"5,65014"
1988,04,"5,87117"
